descricao,criado,qtdInsumos,calculado,correto
30 CAP | BUPROPIONA CLORIDRATO  150MG,2020-08-05 23:19:09,1,47.5297,39.9
60 CAP | FINASTERIDA 1:10  1MG,2020-08-05 22:51:09,1,46.962,43.6
60 CAP | NAC  250MG; SILIMARINA  150MG; SAME  50MG,2020-08-05 22:51:09,3,105.139,111.4
60 CAP | ANASTROZOL 1:10 0.300MG,2020-08-05 22:51:09,1,49.0314,43.6
120 CAP | DUTASTERIDA 0.250MG; TADALAFIL  10MG,2020-08-05 22:49:09,2,161.8272,146.0
240 CAP | TRIIODOTIRONINA SLOW RELEASE  12MCG,2020-08-05 22:48:09,1,40.6362,77.0
120 CAP | T4  60MCG,2020-08-05 22:47:09,1,35.1005,50.0
60 CAP | VITAMINA B2  30MG; VITAMINA B3  60MG; VITAMINA B5  70MG; VITAMINA B6  30MG; ACIDO FOLICO  3MG; ZINCO QUELADO  30MG; VITAMINA B12  60MCG; SELENIO QUELADO  200MCG; MAGNESIO QUELADO 30%  400MG; PICOLINATO DE CROMO  1000MCG; SAW PALMETO EXT SECO  200MG; ESPIRONOLACTONA  100MG; PYGEUM AFRICANUM EXT. SECO  100MG; FINASTERIDA 0.500MG,2020-08-05 22:40:09,14,248.2063,272.2
60 CAP | CORTISOL  20MG; PRASTERONA  20MG,2020-08-05 22:37:10,2,220.1472,206.6
30 CAP | TADALAFIL  10MG; ARGININA  2G,2020-08-05 22:37:10,2,134.5175,127.4
60 CAP | GESTRINONA 1:10  2MG,2020-08-05 22:37:10,1,623.88,597.4
120 CAP | MAGNESIO QUELADO 30%  200MG; COENZIMA Q10 PO  100MG,2020-08-05 22:36:09,2,246.7711,227.5
60 CAP | SILIMARINA  200MG; VITAMINA B12  300MCG; VITAMINA B6  100MG; ACIDO FOLICO 2.500MG; NAC  200MG,2020-08-05 22:36:09,5,88.182,101.4
30 CAP | VITAMINA D  10000UI; VITAMINA K2 MK7  100MCG,2020-08-05 22:35:09,2,34.5435,39.9
60 CAP | OXANDROLONA  20MG,2020-08-05 22:35:09,1,128.8336,125.7
45 CAP | BUPROPIONA CLORIDRATO  150MG,2020-08-05 22:27:09,1,56.2946,45.8
180 CAP | TRIIODOTIRONINA SLOW RELEASE  10MCG,2020-08-05 22:22:10,1,36.6476,57.9
90 CAP | CLOMIFENO CITRATO  100MG; TADALAFIL  5MG,2020-08-05 22:22:10,2,339.164,310.7
90 CAP | T4  50MCG,2020-08-05 22:21:09,1,33.1878,47.4
60 CAP | COENZIMA Q10 PO  100MG; MAGNESIO QUELADO 30%  200MG,2020-08-05 22:08:09,2,138.3855,131.8
30 CAP | VITAMINA D3 1:100  4000UI,2020-08-05 22:07:08,1,31.776,39.9
90 CAP | CITRUS AURANTIUM EXT SECO  200MG; CAMELIA SINENSIS  400MG; CAPSICUM ANNUUM  6MG; ZINGIBER OFFICINALIS L. ROSCOE  200MG; CAFEINA BASE ANIDRA  100MG,2020-08-05 22:06:08,5,211.6428,201.7
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  5000UI; VITAMINA A OLEOSA ORAL  1000UI; VITAMINA K2 LIQ SOL MAE  100MCG,2020-08-05 22:01:08,3,41.4642,44.0
90 CAP | MAGNESIO DIMALATO  400MG,2020-08-05 22:00:08,1,76.9367,70.0
60 CAP | SELENIO QUELADO  100MCG; ASCORBATO DE CALCIO  500MG; MIX TOCOTRIENOIS  60MG; VITAMINA D  10000UI; VITAMINA A  2000UI; RIBOFLAVINA  20MG; NIACINAMIDA FLUSH FREE  30MG; N ACETIL L CISTEINA  400MG; ZINCO GLICINA  10MG; COBRE GLICINA 0.500MG; FERRO GLICINA  50MG; MAGNESIO DIMALATO  400MG,2020-08-05 21:56:08,12,219.7133,221.5
50 CAP | TRIBULUS TERRESTRIS EXT SECO  300MG,2020-08-05 21:56:08,1,48.231,43.6
30 CAP | 5HTP  50MG,2020-08-05 21:52:08,1,50.3009,40.7
